=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
16.2600, 339, 549, 1, 0
16.2850, 340, 549, 1, 0
16.3120, 342, 549, 1, 0
16.3370, 343, 548, 1, 0
16.3630, 345, 548, 1, 0
16.3900, 345, 549, 1, 0
16.4150, 346, 549, 1, 0
16.4420, 346, 549, 1, 0
16.4670, 348, 546, 1, 0
16.4930, 350, 545, 1, 0
16.5200, 351, 545, 1, 0
16.5450, 351, 544, 1, 0
16.5710, 353, 541, 1, 0
16.5970, 354, 541, 1, 0
16.6230, 354, 539, 1, 0
16.6500, 356, 535, 1, 0
16.6750, 358, 534, 1, 0
16.7010, 358, 533, 1, 0
16.7280, 361, 527, 1, 0
16.7530, 363, 524, 1, 0
16.7800, 365, 522, 1, 0
16.8050, 368, 516, 1, 0
16.8310, 372, 513, 1, 0
16.8580, 374, 511, 1, 0
16.8830, 377, 508, 0, 0
16.9100, 383, 502, 0, 0
16.9350, 388, 498, 0, 0
16.9610, 390, 497, 0, 0
16.9880, 393, 493, 0, 0
17.0130, 397, 489, 0, 0
17.0400, 400, 486, 0, 0
17.0650, 402, 484, 0, 0
17.0910, 404, 484, 0, 0
17.1180, 404, 486, 0, 0
17.1430, 405, 484, 0, 0
17.1690, 407, 481, 0, 0
17.1950, 409, 478, 0, 0
17.2210, 412, 476, 0, 0
17.2480, 412, 478, 0, 0
17.2730, 412, 480, 0, 0
17.2990, 412, 481, 0, 0
17.3260, 412, 483, 0, 0
17.3510, 411, 484, 0, 0
17.3780, 411, 485, 0, 0
17.4030, 411, 485, 0, 0
17.4290, 412, 485, 0, 0
17.4560, 412, 485, 0, 0
17.4810, 412, 485, 0, 0
17.5080, 412, 485, 0, 0
17.5330, 411, 486, 0, 0
17.5590, 411, 486, 0, 0
17.5860, 408, 486, 0, 0
17.6110, 406, 489, 0, 0
17.6370, 407, 489, 0, 0
17.6630, 405, 490, 0, 0
17.6890, 402, 492, 0, 0
17.7160, 401, 493, 0, 0
17.7410, 398, 494, 0, 0
17.7670, 388, 497, 0, 0
17.7930, 383, 500, 0, 0
17.8190, 383, 502, 0, 0
17.8460, 381, 502, 0, 0
17.8710, 377, 504, 0, 0
17.8970, 372, 507, 1, 0
17.9240, 367, 510, 1, 0
17.9490, 362, 513, 1, 0
17.9760, 359, 517, 1, 0
18.0010, 356, 520, 1, 0
18.0270, 353, 522, 1, 0
18.0540, 351, 525, 1, 0
18.0790, 348, 528, 1, 0
18.1060, 341, 532, 1, 0
18.1310, 337, 537, 1, 0
18.1570, 336, 540, 1, 0
18.1840, 335, 544, 1, 0
18.2090, 334, 547, 1, 0
18.2350, 333, 549, 1, 0
18.2610, 333, 552, 1, 0
18.2870, 332, 554, 1, 0
18.3140, 333, 556, 1, 0
18.3390, 334, 556, 1, 0
18.3650, 335, 556, 1, 0
18.3920, 337, 556, 1, 0
18.4170, 338, 555, 1, 0
18.4440, 340, 555, 1, 0
18.4690, 341, 555, 1, 0
18.4950, 341, 555, 1, 0
18.5220, 342, 555, 1, 0
18.5470, 342, 556, 1, 0
18.5740, 343, 555, 1, 0
18.5990, 343, 553, 1, 0
18.6250, 345, 552, 1, 0
18.6520, 345, 552, 1, 0
18.6770, 346, 551, 1, 0
18.7040, 348, 548, 1, 0
18.7290, 348, 548, 1, 0
18.7550, 349, 547, 1, 0
18.7820, 350, 543, 1, 0
18.8070, 352, 543, 1, 0
18.8330, 352, 541, 1, 0
18.8590, 353, 532, 1, 0
18.8850, 356, 529, 1, 0
